name,abbr,osm_type,osm_id,admin_level,level_name,iso3166_2,wikidata,fips
Québec,QC,relation,61549,4,Provinces/Territories,CA-QC,Q176,
Ontario,ON,relation,68841,4,Provinces/Territories,CA-ON,Q1904,
New Brunswick,NB,relation,68942,4,Provinces/Territories,CA-NB,Q1965,
Nova Scotia,NS,relation,390558,4,Provinces/Territories,CA-NS,Q1952,
ᓄᓇᕗᑦ Nunavut,NU,relation,390840,4,Provinces/Territories,CA-NU,Q2023,
Manitoba,MB,relation,390841,4,Provinces/Territories,CA-MB,Q1948,
British Columbia,BC,relation,390867,4,Provinces/Territories,CA-BC,Q1973,
Prince Edward Island,PE,relation,391115,4,Provinces/Territories,CA-PE,Q1978,
Saskatchewan,SK,relation,391178,4,Provinces/Territories,CA-SK,Q1989,
Alberta,AB,relation,391186,4,Provinces/Territories,CA-AB,Q1951,
Newfoundland and Labrador,NL,relation,391196,4,Provinces/Territories,CA-NL,Q2003,
Northwest Territories,NT,relation,391220,4,Provinces/Territories,CA-NT,Q2007,
Yukon,YT,relation,391455,4,Provinces/Territories,CA-YT,Q2009,
